build_year,build_year_cat,building_state,facades,garden,living_area,locality_name,number_bedrooms,postal_code,price,property_type,province,swimming_pool,terrace
,,New,2.0,0,109.0,Geel,2.0,2440.0,354900.0,apartment,Antwerp,0,1.0
,,Excellent,4.0,0,97.0,Awans,2.0,4340.0,279000.0,apartment,Liège,0,1.0
,,New,3.0,0,71.0,Berchem-Sainte-Agathe,1.0,1082.0,287500.0,apartment,Brussels Capital Region,0,1.0
,,New,2.0,0,97.0,Aalst,2.0,9300.0,396100.0,apartment,East Flanders,0,1.0
,,New,2.0,1,88.0,Herentals,1.0,2200.0,299725.0,apartment,Antwerp,0,1.0
,,nan,4.0,0,100.0,Meerle,3.0,2328.0,485000.0,residence,Antwerp,0,0.0
,,New,,1,82.0,Sambreville,2.0,5060.0,310000.0,apartment,Namur,0,0.0
,,New,,0,103.0,Liege,2.0,4000.0,340930.0,apartment,Liège,0,1.0
,,nan,,0,,Nederhasselt,,9400.0,414000.0,nan,East Flanders,0,
,,Normal,2.0,1,146.0,Hasselt,3.0,3500.0,339500.0,residence,Limburg,0,1.0
,,nan,,0,,Noorderwijk,,2200.0,240000.0,nan,Antwerp,0,
1893.0,1800s,To renovate,2.0,1,280.0,Elsene,4.0,1050.0,870000.0,residence,Brussels Capital Region,0,1.0
,,New,,1,98.0,Ans,2.0,4430.0,287800.0,ground,Liège,0,1.0
1960.0,1960s,Fully renovated,,1,75.0,Oostende,2.0,8400.0,245000.0,apartment,West Flanders,0,1.0
,,nan,,0,,Rixensart,,1330.0,543471.0,nan,Walloon Brabant,0,
1958.0,1950s,Excellent,2.0,1,193.0,Sint-Pieters-Woluwe,4.0,1150.0,749000.0,residence,Brussels Capital Region,1,1.0
1954.0,1950s,To renovate,3.0,1,161.0,Lier,4.0,2500.0,315000.0,residence,Antwerp,0,0.0
,,Normal,3.0,1,162.0,Ham,3.0,3945.0,399000.0,residence,Limburg,0,0.0
,,nan,4.0,1,417.0,Saive,3.0,4671.0,795000.0,villa,Liège,0,1.0
,,Normal,4.0,1,155.0,Ligny,4.0,5140.0,299000.0,residence,Namur,0,1.0
,,To renovate,,0,60.0,Villers-en-Fagne,2.0,5600.0,105000.0,chalet,Namur,0,0.0
2023.0,2020s,New,3.0,1,249.0,Zwevegem,3.0,8550.0,500000.0,residence,West Flanders,0,1.0
1960.0,1960s,Normal,2.0,0,105.0,Vorst,2.0,1190.0,298000.0,apartment,Brussels Capital Region,0,1.0
2025.0,2020s,New,,1,168.0,Perwez,4.0,1360.0,415000.0,residence,Walloon Brabant,0,1.0
,,New,,1,70.0,Jambes,1.0,5100.0,250000.0,apartment,Namur,0,1.0
1989.0,1980s,Normal,4.0,0,42.0,Hastière-Lavaux,2.0,5540.0,62000.0,residence,Namur,0,1.0
,,New,2.0,1,100.0,Ekeren,2.0,2180.0,359000.0,apartment,Antwerp,0,1.0
1890.0,1800s,To renovate,4.0,1,548.0,Begijnendijk,9.0,3130.0,525000.0,master,Flemish Brabant,0,0.0
,,Normal,,0,40.0,Antwerp,1.0,2018.0,194900.0,apartment,Antwerp,0,0.0
1974.0,1970s,Normal,3.0,0,99.0,Merksem,2.0,2170.0,249000.0,apartment,Antwerp,0,1.0
1965.0,1960s,To renovate,4.0,1,167.0,Beauraing,4.0,5570.0,215000.0,residence,Namur,0,0.0
,,New,,1,84.0,Mons,2.0,7000.0,285000.0,apartment,Hainaut,0,1.0
,,New,4.0,1,101.0,Kontich,2.0,2550.0,250000.0,apartment,Antwerp,0,1.0
1984.0,1980s,To renovate,2.0,1,378.0,Herentals,3.0,2200.0,425000.0,residence,Antwerp,0,1.0
1950.0,1950s,To renovate,3.0,1,128.0,Fays-les-Veneurs,3.0,6856.0,155000.0,residence,Luxembourg,0,0.0
,,To renovate,3.0,1,,Arsimont,4.0,5060.0,275000.0,residence,Namur,0,0.0
1951.0,1950s,Excellent,2.0,1,399.0,Roeselare,3.0,8800.0,360000.0,residence,West Flanders,0,1.0
1954.0,1950s,Normal,,0,139.0,Arlon,3.0,6700.0,310000.0,apartment,Luxembourg,0,0.0
,,New,3.0,1,119.0,Antwerp,3.0,2018.0,495000.0,residence,Antwerp,0,1.0
1970.0,1970s,To renovate,4.0,0,135.0,Limal,3.0,1300.0,249000.0,apartment,Walloon Brabant,0,1.0
,,New,4.0,1,91.0,Evere,2.0,1140.0,387000.0,apartment,Brussels Capital Region,0,1.0
,,Normal,,0,58.0,Saint-Servais,1.0,5002.0,129000.0,residence,Namur,0,0.0
1939.0,1930s,nan,3.0,0,340.0,Hallaar,5.0,2220.0,495000.0,mixed,Antwerp,0,0.0
,,nan,,1,113.0,Profondeville,2.0,5170.0,375000.0,apartment,Namur,0,1.0
1920.0,1920s,Normal,2.0,1,120.0,Dampremy,3.0,6020.0,130000.0,residence,Hainaut,0,1.0
2013.0,2010s,Excellent,3.0,1,257.0,Aarschot,4.0,3200.0,449000.0,residence,Flemish Brabant,0,1.0
,,New,4.0,0,88.0,Antwerp,1.0,2050.0,342500.0,apartment,Antwerp,0,1.0
,,nan,2.0,0,107.0,Chimay,2.0,6460.0,273600.0,apartment,Hainaut,0,1.0
,,nan,,0,,Peer,,3990.0,270862.0,nan,Limburg,0,
,,nan,2.0,1,260.0,Evere,5.0,1140.0,555000.0,residence,Brussels Capital Region,0,1.0
1956.0,1950s,Normal,3.0,1,129.0,Bazel,5.0,9150.0,319000.0,residence,East Flanders,0,1.0
1918.0,1910s,Excellent,,1,158.0,Wijnegem,4.0,2110.0,365000.0,residence,Antwerp,0,1.0
1967.0,1960s,nan,4.0,1,152.0,Herzele,3.0,9550.0,325000.0,residence,East Flanders,0,1.0
,,Normal,,1,164.0,Koksijde,3.0,8670.0,1095000.0,villa,West Flanders,0,0.0
1997.0,1990s,Normal,3.0,1,155.0,Buizingen,3.0,1501.0,420000.0,residence,Flemish Brabant,0,1.0
1972.0,1970s,Fully renovated,4.0,1,300.0,Lasne,4.0,1380.0,1190000.0,villa,Walloon Brabant,0,1.0
1955.0,1950s,nan,2.0,1,170.0,Elsene,3.0,1050.0,795000.0,apartment,Brussels Capital Region,0,1.0
,,Excellent,2.0,0,103.0,Lier,3.0,2500.0,385000.0,apartment,Antwerp,0,1.0
1930.0,1930s,nan,2.0,1,141.0,Roeselare,3.0,8800.0,139000.0,residence,West Flanders,0,0.0
,,New,2.0,0,106.0,Ieper,2.0,8900.0,408250.0,apartment,West Flanders,0,1.0
2006.0,2000s,Normal,,0,80.0,Deurne,2.0,2100.0,266000.0,apartment,Antwerp,0,1.0
,,New,4.0,0,88.0,Willebroek,2.0,2830.0,280000.0,apartment,Antwerp,0,1.0
2007.0,2000s,nan,3.0,1,152.0,Roeselare,3.0,8800.0,399000.0,residence,West Flanders,0,1.0
,,New,,0,144.0,Fernelmont,3.0,5380.0,475000.0,apartment,Namur,0,1.0
1964.0,1960s,Normal,,0,98.0,Liege,2.0,4000.0,250000.0,apartment,Liège,0,0.0
,,New,2.0,0,122.0,Oudenburg,2.0,8460.0,312000.0,apartment,West Flanders,0,1.0
1974.0,1970s,Normal,2.0,1,274.0,Kuurne,5.0,8520.0,299000.0,residence,West Flanders,0,1.0
,,To renovate,2.0,1,110.0,Modave,2.0,4577.0,60000.0,ground,Liège,1,1.0
1897.0,1800s,Normal,2.0,0,57.0,Sint-Gillis,1.0,1060.0,350000.0,apartment,Brussels Capital Region,0,0.0
1931.0,1930s,To renovate,,1,165.0,Houffalize,3.0,6660.0,130000.0,residence,Luxembourg,0,0.0
,,nan,,0,,Mons,,7000.0,275000.0,nan,Hainaut,0,
